geoid,median_income,pct_housing_pre_1950,poverty_rate,children_under_6_rate,minority_share,median_housing_year,acs_year
340030061013,138413.0,0.2309124767225326,,0.06362007168458782,0.28046594982078854,1984.0,2022
340030061014,105116.0,0.490625,,0.10887949260042283,0.2473572938689218,1981.0,2022
340030061021,124953.0,0.7772727272727272,,0.007570543702684102,0.7302133516861666,1938.0,2022
340030061022,52905.0,0.7432432432432432,,0.0936768149882904,0.2622950819672131,1938.0,2022
340030061023,48631.0,0.42596810933940776,,0.020793950850661626,0.5510396975425331,1965.0,2022
340030062011,94984.0,0.5575539568345323,,0.03796791443850268,0.34705882352941175,1938.0,2022
340030062012,93438.0,0.21971252566735114,,0.157942238267148,0.4476534296028881,1973.0,2022
340030062013,12453.0,0.07860262008733625,,0.0,0.3914680050188206,1977.0,2022
340030062014,157758.0,0.6464891041162227,,0.01937046004842615,0.3619854721549637,1938.0,2022
340030062021,124129.0,0.27101200686106347,,0.009325287986834888,0.6456390565002743,1983.0,2022
340030062022,133209.0,0.048598130841121495,,0.02127659574468085,0.40691489361702127,1974.0,2022
340030062023,104519.0,0.08585055643879173,,0.014023732470334413,0.3052858683926645,1990.0,2022
340030062024,135142.0,0.024958402662229616,,0.14484679665738162,0.34447539461467036,1976.0,2022
340030063011,51820.0,0.44047619047619047,,0.047582501918649274,0.6584804297774367,1952.0,2022
340030063012,91897.0,0.48509933774834435,,0.04590935844614479,0.46439081812831073,1952.0,2022
340030063013,,0.35942028985507246,,0.045064377682403435,0.2618025751072961,1959.0,2022
340030063021,169444.0,0.41363636363636364,,0.0121765601217656,0.15220700152207,1982.0,2022
340030063022,,0.5668934240362812,,0.025837988826815643,0.43924581005586594,1948.0,2022
340030063023,176239.0,0.02029520295202952,,0.06858846918489066,0.40457256461232605,1979.0,2022
340030063024,47804.0,0.326226012793177,,0.030054644808743168,0.5819672131147541,1960.0,2022
340030070011,180893.0,0.25,,0.07809523809523809,0.5114285714285715,1955.0,2022
340030070012,137614.0,0.5155195681511471,,0.09891150023663038,0.4623757690487459,1949.0,2022
340030070021,248438.0,0.0,,0.0436817472698908,0.4633385335413417,1967.0,2022
340030070022,226410.0,0.059130434782608696,,0.013340744858254585,0.6381322957198443,1986.0,2022
340030070023,126696.0,0.2968421052631579,,0.09150865622423743,0.48474855729596045,1957.0,2022
340030070024,101042.0,0.28627450980392155,,0.018867924528301886,0.4136429608127722,1955.0,2022
340030080011,178636.0,0.17927631578947367,,0.033816425120772944,0.44605475040257647,1962.0,2022
340030080012,155222.0,0.49047619047619045,,0.0,0.37389770723104054,1954.0,2022
340030080013,185114.0,0.15151515151515152,,0.046699875466998754,0.2646326276463262,1957.0,2022
340030080021,,0.20454545454545456,,0.05038428693424424,0.36379163108454315,2001.0,2022
340030080022,173333.0,0.1652892561983471,,0.05460526315789474,0.493421052631579,1959.0,2022
340030080023,191328.0,0.22535211267605634,,0.034787410270568746,0.2965212589729431,1962.0,2022
340030091001,159427.0,0.145933014354067,,0.06519967400162999,0.40749796251018744,1971.0,2022
340030091002,217031.0,0.2533136966126657,,0.0491283676703645,0.25462229265715797,1960.0,2022
340030091003,157813.0,0.12773722627737227,,0.0,0.3425797503467406,1965.0,2022
340030091004,148819.0,0.1827956989247312,,0.09274563820018365,0.17447199265381086,1961.0,2022
340030092001,203571.0,0.34710743801652894,,0.05689488910318226,0.22082931533269046,1953.0,2022
340030092002,165500.0,0.45734597156398105,,0.059266227657572904,0.438381937911571,1952.0,2022
340030092003,229512.0,0.5087719298245614,,0.015297906602254429,0.27053140096618356,1948.0,2022
340030101001,162009.0,0.039525691699604744,,0.05731707317073171,0.49878048780487805,1957.0,2022
340030101002,93354.0,0.2515151515151515,,0.008410428931875526,0.5365853658536586,1956.0,2022
340030101003,174706.0,0.36082474226804123,,0.07375643224699828,0.47341337907375647,1958.0,2022
340030101004,150865.0,0.8321678321678322,,0.027522935779816515,0.23984272608125823,1945.0,2022
340030101005,63379.0,0.42216358839050133,,0.08238636363636363,0.13920454545454541,1951.0,2022
340030101006,115972.0,0.5253333333333333,,0.05863539445628998,0.18976545842217485,1949.0,2022
340030101007,101507.0,0.40482573726541554,,0.012953367875647668,0.40803108808290156,1952.0,2022
340030102001,160385.0,0.46511627906976744,,0.020202020202020204,0.3727272727272727,1959.0,2022
340030102002,120859.0,0.41201716738197425,,0.017955801104972375,0.5269337016574586,1959.0,2022
340030102003,,0.3044776119402985,,0.1879120879120879,0.41648351648351645,1968.0,2022
340030102004,128289.0,0.3641304347826087,,0.10929853181076672,0.564437194127243,1955.0,2022
340030102005,73839.0,0.5166163141993958,,0.0,0.10149253731343288,1950.0,2022
